一级对象,二级对象,三级对象,故障模式,可能原因,故障影响,是否中断业务,严酷度,故障模式备注,故障预防方法（预期）,故障预防方法（版本现状）,故障检测方法（预期）,故障检测方法（版本现状）,故障处理方法（预期）,故障处理方法（版本现状）,故障定位方法（预期）,故障定位方法（版本现状）,改进建议,故障管理措施备注
datasystem,ds-worker,-,时间跳变,"1.掉电重启/异常跳变（时间往前跳或者往后跳）；2.人工调整时间/时区；3.NTP自动对齐导致跳变（时间往前跳或者往后跳）","时间向前跳变会对数据的版本号产生影响，造成新修改的版本比之前的版本号旧，引发数据一致性处理异常",是,一般,"【故障域】不涉及",NTP同步监控,时间一致性检查,系统日志检测,/var/log/message,代码中增加处理，规避时间向前跳变带来的版本号问题,代码版本号处理,现象：系统时间异常；手段：日志,"K_DATA_INCONSISTENCY (19)",NA,故障处理手段当前还不支持，数据会修改的情况下，且时间跳变到旧时间的情况下会有问题
datasystem,ds-worker,-,配置文件丢失/损坏,"1.配置文件被截断；2.配置内存错乱；3.配置非法",data worker进程启动失败,是,一般,"【故障域】data worker启动",配置文件校验,配置文件解析,日志检测,worker_oc_service_impl.cpp,节点拉起失败后退出，k8s自动重拉,k8s自动重拉,现象：进程启动报错或配置解析失败；手段：日志,"K_RUNTIME_ERROR (7)",NA,
datasystem,ds-worker,-,程序文件/库文件丢失/损坏,"1.安装/升级不正确；2.系统环境故障导致文件损坏；3.人工误操作",data worker进程启动失败,是,一般,"【故障域】data worker启动",文件完整性检查,文件存在性检查,日志检测,worker_oc_service_impl.cpp,节点拉起失败后退出，k8s自动重拉,k8s自动重拉,现象：进程启动报错（如找不到文件）；手段：日志,"K_RUNTIME_ERROR (7)",NA,
datasystem,ds-worker,-,文件权限错误,"1.安装/升级/程序运行时权限设置错误；2.人工误操作",data worker进程启动失败,是,一般,"【故障域】data worker启动",文件权限检查,文件权限检查,日志检测,worker_oc_service_impl.cpp,节点拉起失败后退出，k8s自动重拉,k8s自动重拉,现象：进程启动报错（如权限不足）；手段：日志,"K_RUNTIME_ERROR (7)",NA,
datasystem,ds-worker,-,进程终止/异常退出,"1.进程异常；2.进程被误杀,"1.与本节点直连的client无法接入集群；2.本节点保存的数据若未写入二级缓存则丢失；3.本节点管理的元数据访问失败。",是,严重,"【故障域】data worker",进程监控,"k8s检测worker进程状态，etcd订阅节点状态",k8s检测、etcd状态检测、日志,"worker_oc_service_impl.cpp:369-372 - [HealthCheck] Worker is exiting now","1、节点故障后，k8s会自动重拉；2、需要保证可靠性的数据，需要用户在写入时选择Write_through模式；3、若节点长时间无法拉起，则将此节点踢出集群",k8s自动重拉 + 流量切换,现象：进程消失，节点失联；手段：日志、etcd状态,"K_SCALE_DOWN (31)",NA,检测灵敏度受node_timeout_s参数控制，默认值为60s
datasystem,ds-worker,-,进程吊死/饿死,"1.进程被请求的资源(锁/IO)阻塞；2.死循环；3.进程优先级不够，导致无法抢占资源；4.调度器异常，导致平台进程无法被调度",ds-worker无法提供服务，本地client读写失败，需要重启恢复,是,严重,"【故障域】data worker",busy loop检测,心跳超时检测,心跳超时检测,listen_worker.cpp:114,无,依赖外部监控,现象：进程存在但不响应；手段：日志,"K_CLIENT_WORKER_DISCONNECT (23)",P0: Worker挂死检测优化,当前无法检查进程吊死
datasystem,ds-worker,-,线程资源不足,"1.系统内其他进程缺陷导致资源使用过大；2.业务高峰导致系统内其他进程资源使用过大",ds-worker业务功能受损，RPC失败导致读写请求失败,是,一般,"【故障域】data worker",线程池监控,线程资源申请检测,日志检测,worker_oc_service_impl.cpp,申请资源失败记录错误日志,记录错误日志,现象：申请线程资源失败；手段：日志,"K_RUNTIME_ERROR (7)",NA,
datasystem,ds-worker,-,fd资源不足,"1.系统内其他进程缺陷导致资源使用过大；2.业务高峰导致系统内其他进程资源使用过大",ds-worker业务功能受损，RPC失败导致读写请求失败,是,一般,"【故障域】data worker",fd监控,fd申请检测,日志检测,worker_oc_service_impl.cpp,申请资源失败记录错误日志,记录错误日志,现象：申请文件描述符失败；手段：日志,"K_FILE_LIMIT_REACHED (20)",NA,
datasystem,ds-worker,-,磁盘空间满,"1.系统内其他进程缺陷导致资源使用过大；2.业务高峰导致系统内其他进程资源使用过大","1、spill数据失败；2、rocksdb读写操作失败",是,严重,"【故障域】data worker",磁盘空间监控,磁盘空间检测,日志检测,worker_oc_service_impl.cpp,记录错误日志,记录错误日志,现象：磁盘写入失败；手段：日志,"K_NO_SPACE (13)",NA,当前无处理措施，可考虑当磁盘故障后将此节点隔离，业务迁走
datasystem,ds-worker,-,磁盘故障,"磁盘出现坏道等原因","1、spill数据失败；2、rocksdb读写操作失败（元数据未持久化）",是,严重,"【故障域】data worker",磁盘健康检查,磁盘IO检测,日志检测,worker_oc_service_impl.cpp,记录错误日志,记录错误日志,现象：磁盘读写错误；手段：日志,"K_IO_ERROR (7)",NA,当前无处理措施，可考虑当磁盘故障后将此节点隔离，业务迁走
datasystem,ds-worker,-,rocksdb文件权限错误,"文件权限被修改","对正常运行的rocksdb无影响，对重启场景有影响，读取数据错误，启动失败（元数据未持久化）",否,一般,"【故障域】data worker",文件权限检查,文件权限检查,日志检测,worker_oc_service_impl.cpp,记录错误日志,记录错误日志,现象：重启时数据库打开失败；手段：日志,"K_RUNTIME_ERROR (7)",NA,
datasystem,ds-worker,-,rocksdb文件丢失,"文件被误删","对正在运行的rocksdb无影响，对重启场景有影响，读取数据错误，丢失元数据",否,一般,"【故障域】data worker",文件完整性检查,文件存在性检查,日志检测,worker_oc_service_impl.cpp,记录错误日志,记录错误日志,现象：重启时数据库打开失败；手段：日志,"K_RUNTIME_ERROR (7)",NA,
datasystem,ds-worker,-,共享内存空间不足,"1、用户写入的数据太多且未配置spill、缓存淘汰功能；2、用户配置了spill功能，但磁盘已满或写入速度太快导致来不及spill","在配置数据对象（KV Cache）缓存淘汰策略后，会触发缓存淘汰",是,一般,"【故障域】data worker",内存使用率监控,共享内存使用率检测,日志检测,allocator.cpp,记录错误日志，触发缓存淘汰,缓存淘汰策略,现象：共享内存分配失败；手段：日志,"K_OUT_OF_MEMORY (6)",NA,
datasystem,ds-worker,etcd,集群管理etcd访问异常,"1.ETCD进程挂死/退出/过载等；2.网络异常","在ds-worker正常运行情况下，集群管理的etcd访问异常无影响；当ds-worker出现故障重启后，可能出现数据不一致",否,严重,"【故障域】集群",etcd高可用部署,IsKeepAliveTimeout检测,etcd健康检查,"replica_manager.cpp:1190 - etcd is timeout","当集群管理etcd故障后，集群的扩缩容、故障处理等功能都不在可用",等待恢复,现象：etcd连接失败；手段：日志,"K_MASTER_TIMEOUT (25)",P0: etcd故障自愈机制,
datasystem,ds-worker,etcd,集群管理etcd访问慢,"1、ETCD负荷太高；2、网络存在瓶颈","集群管理的etcd异常会导致某些节点续租异常，从而节点状态异常",是,一般,"【故障域】集群",etcd负载均衡,IsKeepAliveTimeout检测,etcd健康检查,"etcd_cluster_manager.cpp:897 - Disconnected from remote node",节点会不断重新尝试向etcd发送消息续租，一旦成功则自动恢复",续租重试,现象：etcd续租响应慢；手段：日志,"K_MASTER_TIMEOUT (25)",NA,可能会出现误判节点故障，会触发扩容操作
datasystem,ds-worker,-,异常请求,"用户传入异常数据",无，异常请求会被拒绝,是,一般,"【故障域】data worker",入参校验,Validator校验,K_INVALID检测,"status_code.def - K_INVALID (2)","1.对请求进行合法性检查，非法请求报错，记录日志；2.非法请求不影响合法请求处理流程",返回错误码,现象：收到并拒绝非法请求；手段：日志,"K_INVALID (2)",NA,
datasystem,ds-worker,-,过多请求,"1.上游服务异常；2.上游服务业务量激增；3.攻击","1、cpu/内存占满导致服务受损；2、消息处理慢",是,一般,"【故障域】data worker",流控机制,流控检测,资源使用率检测,worker_oc_service_impl.cpp,增加流控机制，控制worker整体支持的请求量以及单个client支持的请求量,流控机制（当前不支持）,现象：资源使用率高，请求处理延迟；手段：日志,"K_RUNTIME_ERROR (7)",NA,当前还不支持流控，依靠前端接入服务实现流控
datasystem,ds-worker,-,扩容异常,"扩容过程中网络异常，或扩容节点/其他节点发生了故障",扩容失败,否,一般,"【故障域】集群",扩缩容状态检测,Worker和etcd保活心跳检测,心跳检测,etcd_cluster_manager.cpp,检测到故障后，自动回滚扩容流程,自动回滚,现象：扩容流程中断或超时；手段：日志,"K_SCALING (32)",NA,
datasystem,ds-worker,-,缩容异常,"缩容过程中网络异常，或其他节点发生故障",缩容失败,否,一般,"【故障域】集群",扩缩容状态检测,Worker和etcd保活心跳检测,心跳检测,etcd_cluster_manager.cpp,检测到故障后，自动回滚缩容流程,自动回滚,现象：缩容流程中断或超时；手段：日志,"K_SCALING (32)",NA,
datasystem,ds-worker,-,节点频繁加入/退出,"节点由于bug/资源不足等原因反复重启",进程状态故障,是,一般,"【故障域】集群",节点稳定性监控,日志检测,日志检测,etcd_cluster_manager.cpp,需要人工干预确认资源问题,人工介入,现象：该实例无法正常响应；手段：日志,"K_SCALE_DOWN (31)",NA,当前在进程故障重启但频繁重启下，无法隔离该进程，需要避免其频繁重启
datasystem,ds-worker,UB,UB初始化失败,"ds_urma_init失败、驱动so未加载(/usr/lib64/urma缺失)、dlopen失败",整个UB传输不可用，Client无法使用UB通道,是,严重,"【故障域】URMA层","驱动文件完整性检查、权限校验",UrmaInit返回值检查,"dlopen返回值检测、/usr/lib64/urma目录存在性检查","urma_dlopen_util.cpp - dlopen failed",降级到TCP传输、告警,降级到TCP（UB不可用时自动fallback）,错误码：K_URMA_ERROR (1004)；日志：dlopen failed,检查驱动文件是否部署正确,NA,用户需确保UB驱动正确部署
datasystem,ds-worker,UB,CQ poll/wait/rearm失败,"poll_jfc失败(CQE为空)、wait_jfc超时(UDMA中断未上报)、rearm失败",事件通知机制失效，URMA操作无法完成,是,较严重,"【故障域】URMA层",CQ状态监控、心跳检测,urma_poll_jfc返回值检查,poll返回-1时检测、wait超时检测,"urma_manager.cpp - Failed to poll jfc",重建CQ、重试,重建CQ,错误码：K_URMA_ERROR (1004)；日志：Failed to wait jfc,代码证据：code-evidence/01-urma-fault-detection.md,P2: CQ异常提前检测,自愈机制已实现
datasystem,ds-worker,UB,JFS重建,"JFS状态异常、cqe status=9(映射到RECREATE_JFS)、SQ不可用",写操作失败，需重建JFS,是,较严重,"【故障域】URMA层",JFS健康状态检测,GetUrmaErrorHandlePolicy(statusCode=9),cqe status检测,"urma_manager.cpp:772 - [URMA_RECREATE_JFS] requestId=xxx, cqeStatus=9",自动重建JFS,connection->ReCreateJfs(),日志：[URMA_RECREATE_JFS] requestId=xxx, cqeStatus=9,代码证据：code-evidence/01-urma-fault-detection.md,NA,自愈机制已实现
datasystem,ds-worker,UB,UB连接需重建,"连接不存在、实例不匹配(cachedInstanceId != instanceId)、连接不稳定",短时业务中断，需重建连接,是,一般,"【故障域】URMA层",连接保活检测,CheckUrmaConnectionStable,urm aConnectionMap_查询、instanceId比对,"urma_manager.cpp:1385-1413 - [URMA_NEED_CONNECT] Connection stale",自动重连,TryReconnectRemoteWorker → K_TRY_AGAIN,日志：[URMA_NEED_CONNECT] Connection stale/unstable,代码证据：code-evidence/01-urma-fault-detection.md,NA,自愈机制已实现
datasystem,ds-worker,UB,import jfr失败,"jfr import失败、token不匹配、Fast transport handshake failed",UB远端传输建立失败,是,较严重,"【故障域】URMA层",token校验、握手超时检测,urma_import_jfr返回值检查,import失败返回值检测,urma_manager.cpp,重试、降级到TCP,降级到TCP,错误码：K_URMA_ERROR (1004)；日志：Fast transport handshake failed,代码证据：code-evidence/01-urma-fault-detection.md,增加握手超时配置,有降级路径
datasystem,ds-worker,UB,UB write/read失败,"urma_write/read调用失败、SQ/RQ错误",数据写入/读取失败,是,较严重,"【故障域】URMA层",SQ/RQ状态检测,urma_post_jfs_wr返回值检查,write/read返回值检测,urma_manager.cpp,重试、降级,重试,错误码：K_URMA_ERROR (1004)；日志：Failed to urma write/read,代码证据：code-evidence/01-urma-fault-detection.md,NA,
datasystem,ds-worker,UB,UB直发失败降级TCP,"Send buffer via UB失败、Jetty不足",降级到TCP/IP payload,部分,一般,"【故障域】URMA层",UB端口状态检测,-,Send失败返回值检测,fast_transport_manager_wrapper.cpp - fallback to TCP/IP payload,自动降级到TCP,已实现,日志：fallback to TCP/IP payload,-,增加降级路径监控,无需用户干预
